latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime,footprint_dx,footprint_dy,footprint_nw_lat,footprint_nw_lon,footprint_ne_lat,footprint_ne_lon,footprint_se_lat,footprint_se_lon,footprint_sw_lat,footprint_sw_lon,footprint_area_km2,ee_elevation,ee_ndvi,ee_population_density,ee_landcover,ee_pdsi,ee_pr,ee_sph,ee_th,ee_tmmn,ee_tmmx,ee_vs,ee_erc
34.15189,-118.19356,313.26,0.55,0.43,2025-01-07,919,N21,VIIRS,n,2.0NRT,281.07,2.12,N,2025-01-07 09:19:00,0.0020353197635174665,0.0016843334531081568,34.15357433345311,-118.19559531976353,34.15357433345311,-118.19152468023648,34.150205666546896,-118.19152468023648,34.150205666546896,-118.19559531976353,0.140625,306,0.38380000000000003,35.057273864746094,20,-2.069999933242798,0.0,0.004279999993741512,211.0,280.0,293.29998779296875,1.600000023841858,61.0
34.15256,-118.19263,296.42,0.34,0.56,2025-01-08,902,N21,VIIRS,n,2.0NRT,278.9,0.82,N,2025-01-08 09:02:00,0.0020353359093427696,0.0016843334531081568,34.15424433345311,-118.19466533590933,34.15424433345311,-118.19059466409065,34.150875666546895,-118.19059466409065,34.150875666546895,-118.19466533590933,0.140625,306,0.38380000000000003,35.057273864746094,20,-2.069999933242798,0.0,0.004209999926388264,27.0,287.1000061035156,292.79998779296875,4.099999904632568,66.0
34.15486,-118.19466,299.18,0.34,0.56,2025-01-08,902,N21,VIIRS,n,2.0NRT,278.47,0.63,N,2025-01-08 09:02:00,0.002035391339377036,0.0016843334531081568,34.156544333453105,-118.19669539133938,34.156544333453105,-118.19262460866062,34.15317566654689,-118.19262460866062,34.15317566654689,-118.19669539133938,0.140625,306,0.38380000000000003,35.057273864746094,20,-2.069999933242798,0.0,0.004209999926388264,27.0,287.1000061035156,292.79998779296875,4.099999904632568,66.0
34.16275,-118.08485,300.77,0.34,0.56,2025-01-08,902,N21,VIIRS,n,2.0NRT,281.19,1.27,N,2025-01-08 09:02:00,0.002035581536368162,0.0016843334531081568,34.16443433345311,-118.08688558153636,34.16443433345311,-118.08281441846364,34.1610656665469,-118.08281441846364,34.1610656665469,-118.08688558153636,0.140625,235,0.2974,974.7697143554688,60,-2.130000114440918,0.0,0.0039900001138448715,28.0,285.20001220703125,294.3999938964844,4.5,68.0
34.16301,-118.08855,298.73,0.34,0.56,2025-01-08,902,N21,VIIRS,n,2.0NRT,280.52,0.79,N,2025-01-08 09:02:00,0.0020355878052115855,0.0016843334531081568,34.164694333453106,-118.09058558780521,34.164694333453106,-118.08651441219479,34.161325666546894,-118.08651441219479,34.161325666546894,-118.09058558780521,0.140625,243,0.3304,1929.5018310546875,50,-2.130000114440918,0.0,0.0039900001138448715,28.0,285.20001220703125,294.3999938964844,4.5,68.0
34.16327,-118.09218,298.81,0.34,0.56,2025-01-08,902,N21,VIIRS,n,2.0NRT,280.7,0.79,N,2025-01-08 09:02:00,0.0020355940741355384,0.0016843334531081568,34.1649543334531,-118.09421559407413,34.1649543334531,-118.09014440592587,34.16158566654689,-118.09014440592587,34.16158566654689,-118.09421559407413,0.140625,243,0.3304,1929.5018310546875,50,-2.130000114440918,0.0,0.0039900001138448715,28.0,285.20001220703125,294.3999938964844,4.5,68.0
34.16352,-118.09579,307.31,0.34,0.56,2025-01-08,902,N21,VIIRS,n,2.0NRT,281.15,1.99,N,2025-01-08 09:02:00,0.0020356001020229745,0.0016843334531081568,34.165204333453104,-118.09782560010201,34.165204333453104,-118.09375439989797,34.16183566654689,-118.09375439989797,34.16183566654689,-118.09782560010201,0.140625,243,0.3304,1929.5018310546875,50,-2.130000114440918,0.0,0.0039900001138448715,28.0,285.20001220703125,294.3999938964844,4.5,68.0
34.16376,-118.09933,315.67,0.34,0.56,2025-01-08,902,N21,VIIRS,n,2.0NRT,280.9,1.99,N,2025-01-08 09:02:00,0.0020356058888649615,0.0016843334531081568,34.16544433345311,-118.10136560588886,34.16544433345311,-118.09729439411113,34.1620756665469,-118.09729439411113,34.1620756665469,-118.10136560588886,0.140625,256,0.31970000000000004,2845.2236328125,50,-2.130000114440918,0.0,0.0039900001138448715,28.0,285.20001220703125,294.3999938964844,4.5,68.0
34.16402,-118.10285,324.69,0.34,0.56,2025-01-08,902,N21,VIIRS,n,2.0NRT,281.34,3.54,N,2025-01-08 09:02:00,0.0020356121580212146,0.0016843334531081568,34.16570433345311,-118.10488561215803,34.16570433345311,-118.10081438784198,34.162335666546895,-118.10081438784198,34.162335666546895,-118.10488561215803,0.140625,256,0.31970000000000004,2845.2236328125,50,-2.130000114440918,0.0,0.0039900001138448715,28.0,285.20001220703125,294.3999938964844,4.5,68.0
34.16577,-118.05471,332.06,0.33,0.56,2025-01-08,902,N21,VIIRS,n,2.0NRT,285.43,6.95,N,2025-01-08 09:02:00,0.0020356543563605015,0.0016843334531081568,34.16745433345311,-118.05674565435636,34.16745433345311,-118.05267434564364,34.164085666546896,-118.05267434564364,34.164085666546896,-118.05674565435636,0.140625,393,0.38430000000000003,1294.61962890625,10,-2.059999942779541,0.0,0.0038799999747425318,28.0,284.5,294.1000061035156,4.699999809265137,71.0
34.16602,-118.05822,315.12,0.34,0.56,2025-01-08,902,N21,VIIRS,n,2.0NRT,284.83,5.45,N,2025-01-08 09:02:00,0.0020356603849925317,0.0016843334531081568,34.16770433345311,-118.060255660385,34.16770433345311,-118.05618433961502,34.1643356665469,-118.05618433961502,34.1643356665469,-118.060255660385,0.140625,393,0.38430000000000003,1294.61962890625,10,-2.059999942779541,0.0,0.0038799999747425318,28.0,284.5,294.1000061035156,4.699999809265137,71.0
34.16627,-118.06178,298.22,0.34,0.56,2025-01-08,902,N21,VIIRS,n,2.0NRT,284.39,5.45,N,2025-01-08 09:02:00,0.002035666413699026,0.0016843334531081568,34.1679543334531,-118.0638156664137,34.1679543334531,-118.0597443335863,34.16458566654689,-118.0597443335863,34.16458566654689,-118.0638156664137,0.140625,396,0.3128,1163.223876953125,50,-2.059999942779541,0.0,0.0038799999747425318,28.0,284.5,294.1000061035156,4.699999809265137,71.0
34.16653,-118.06532,298.34,0.34,0.56,2025-01-08,902,N21,VIIRS,n,2.0NRT,283.93,11.4,N,2025-01-08 09:02:00,0.0020356726836327733,0.0016843334531081568,34.16821433345311,-118.06735567268363,34.16821433345311,-118.06328432731637,34.164845666546896,-118.06328432731637,34.164845666546896,-118.06735567268363,0.140625,396,0.3128,1163.223876953125,50,-2.059999942779541,0.0,0.0038799999747425318,28.0,284.5,294.1000061035156,4.699999809265137,71.0
34.16678,-118.06892,303.95,0.34,0.56,2025-01-08,902,N21,VIIRS,n,2.0NRT,283.82,11.4,N,2025-01-08 09:02:00,0.0020356787124911776,0.0016843334531081568,34.16846433345311,-118.0709556787125,34.16846433345311,-118.06688432128752,34.1650956665469,-118.06688432128752,34.1650956665469,-118.0709556787125,0.140625,396,0.3128,1163.223876953125,50,-2.059999942779541,0.0,0.0038799999747425318,28.0,284.5,294.1000061035156,4.699999809265137,71.0
